appid,Topic 1,Topic 2,Topic 3,Topic 4,Topic 9,Topic 10,Topic 11,Topic 12,Topic 18,Topic 21,Topic 23,Topic 25,Topic 26,Topic 29,Topic 31,Topic 32,Topic 33,Topic 34,Topic 36,Topic 38,Topic 40,Topic 41,Topic 44,Topic 46,Topic 49,Topic 5,Topic 6,Topic 7,Topic 8,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 19,Topic 20,Topic 22,Topic 24,Topic 27,Topic 28,Topic 30,Topic 35,Topic 37,Topic 39,Topic 42,Topic 43,Topic 45,Topic 47,Topic 48,Topic 50,award,area,ownership,scale
101990021,0.00619195,0.00619195,0.003095975,0.003095975,0.00619195,0.003095975,0.00619195,0.003095975,0.00619195,0.015479876,0.003095975,0.003095975,0.003095975,0.003095975,0.009287926,0.003095975,0.009287926,0.003095975,0.003095975,0.003095975,0.037151703,0.003095975,0.003095975,0.003095975,0.003095975,0.009287926,0.00619195,0.003095975,0.052631579,0.003095975,0.003095975,0.003095975,0.003095975,0.003095975,0.619195046,0.003095975,0.003095975,0.00619195,0.003095975,0.021671827,0.009287926,0.009287926,0.003095975,0.003095975,0.034055728,0.00619195,0.003095975,0.00619195,0.012383901,0.018575851,0,5,4,2
101990022,0.002262443,0.002262443,0.011312217,0.002262443,0.002262443,0.083710407,0.002262443,0.002262443,0.002262443,0.002262443,0.002262443,0.002262443,0.002262443,0.002262443,0.004524887,0.002262443,0.002262443,0.002262443,0.024886878,0.002262443,0.002262443,0.002262443,0.004524887,0.002262443,0.002262443,0.002262443,0.687782805,0.002262443,0.002262443,0.004524887,0.002262443,0.027149321,0.002262443,0.042986425,0.009049774,0.002262443,0.002262443,0.002262443,0.002262443,0.002262443,0.002262443,0.00678733,0.002262443,0.002262443,0.002262443,0.002262443,0.002262443,0.002262443,0.002262443,0.00678733,1,6,3,2
101990023,0.004048583,0.004048583,0.004048583,0.004048583,0.012145749,0.016194332,0.052631579,0.004048583,0.004048583,0.004048583,0.012145749,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.008097166,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.008097166,0.008097166,0.340080972,0.004048583,0.004048583,0.004048583,0.008097166,0.004048583,0.028340081,0.08097166,0.008097166,0.016194332,0.004048583,0.020242915,0.149797571,0.004048583,0.004048583,0.020242915,0.004048583,0.004048583,0.004048583,0.008097166,0.004048583,0.012145749,0.064777328,0.004048583,0,3,2,2
101990024,0.003333333,0.003333333,0.006666667,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.006666667,0.003333333,0.003333333,0.026666667,0.01,0.003333333,0.003333333,0.003333333,0.023333333,0.003333333,0.003333333,0.003333333,0.006666667,0.006666667,0.003333333,0.043333333,0.003333333,0.003333333,0.003333333,0.003333333,0.03,0.02,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.006666667,0.003333333,0.003333333,0.003333333,0.046666667,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.643333333,0.003333333,0,4,1,1
101990025,0.004264392,0.002132196,0.002132196,0.004264392,0.004264392,0.034115139,0.002132196,0.002132196,0.002132196,0.002132196,0.002132196,0.012793177,0.004264392,0.002132196,0.004264392,0.012793177,0.002132196,0.002132196,0.008528785,0.28358209,0.006396588,0.002132196,0.002132196,0.002132196,0.002132196,0.002132196,0.221748401,0.004264392,0.002132196,0.002132196,0.002132196,0.012793177,0.223880597,0.002132196,0.002132196,0.002132196,0.002132196,0.004264392,0.008528785,0.002132196,0.002132196,0.004264392,0.008528785,0.002132196,0.002132196,0.002132196,0.008528785,0.002132196,0.053304904,0.010660981,0,3,1,1
101990026,0.008230453,0.002057613,0.002057613,0.002057613,0.002057613,0.020576132,0.002057613,0.002057613,0.004115226,0.002057613,0.002057613,0.002057613,0.002057613,0.00617284,0.004115226,0.004115226,0.028806584,0.002057613,0.082304527,0.002057613,0.002057613,0.002057613,0.004115226,0.008230453,0.002057613,0.014403292,0.374485597,0.004115226,0.002057613,0.002057613,0.002057613,0.057613169,0.018518519,0.002057613,0.028806584,0.004115226,0.004115226,0.004115226,0.004115226,0.082304527,0.002057613,0.002057613,0.04526749,0.002057613,0.008230453,0.004115226,0.002057613,0.008230453,0.028806584,0.090534979,0,2,2,2
101990027,0.025229358,0.004587156,0.002293578,0.004587156,0.006880734,0.002293578,0.002293578,0.002293578,0.002293578,0.016055046,0.016055046,0.408256881,0.002293578,0.004587156,0.002293578,0.002293578,0.01146789,0.002293578,0.004587156,0.004587156,0.002293578,0.006880734,0.002293578,0.002293578,0.004587156,0.002293578,0.004587156,0.002293578,0.002293578,0.002293578,0.002293578,0.28440367,0.006880734,0.002293578,0.002293578,0.002293578,0.002293578,0.002293578,0.004587156,0.004587156,0.002293578,0.002293578,0.004587156,0.002293578,0.071100917,0.025229358,0.002293578,0.002293578,0.009174312,0.004587156,0,2,2,2
101990028,0.007843137,0.003921569,0.003921569,0.003921569,0.003921569,0.02745098,0.011764706,0.003921569,0.003921569,0.003921569,0.007843137,0.007843137,0.007843137,0.003921569,0.011764706,0.007843137,0.003921569,0.003921569,0.003921569,0.003921569,0.003921569,0.007843137,0.007843137,0.011764706,0.003921569,0.003921569,0.117647059,0.003921569,0.007843137,0.003921569,0.003921569,0.254901961,0.02745098,0.007843137,0.011764706,0.003921569,0.003921569,0.003921569,0.003921569,0.003921569,0.003921569,0.011764706,0.015686275,0.003921569,0.015686275,0.02745098,0.003921569,0.003921569,0.274509804,0.003921569,0,1,2,2
201992001,0.002538071,0.005076142,0.007614213,0.027918782,0.002538071,0.045685279,0.002538071,0.002538071,0.005076142,0.005076142,0.002538071,0.005076142,0.007614213,0.002538071,0.007614213,0.005076142,0.002538071,0.002538071,0.020304569,0.005076142,0.002538071,0.002538071,0.002538071,0.005076142,0.005076142,0.005076142,0.109137056,0.002538071,0.010152284,0.007614213,0.017766497,0.109137056,0.007614213,0.007614213,0.012690355,0.002538071,0.040609137,0.015228426,0.012690355,0.223350254,0.002538071,0.02284264,0.002538071,0.060913706,0.015228426,0.015228426,0.058375635,0.012690355,0.035532995,0.005076142,1,3,2,1
201992002,0.009661836,0.001610306,0.003220612,0.020933977,0.019323671,0.003220612,0.001610306,0.004830918,0.003220612,0.001610306,0.001610306,0.004830918,0.001610306,0.003220612,0.004830918,0.006441224,0.001610306,0.001610306,0.004830918,0.412238325,0.020933977,0.001610306,0.001610306,0.001610306,0.001610306,0.006441224,0.230273752,0.003220612,0.003220612,0.006441224,0.003220612,0.004830918,0.053140097,0.003220612,0.022544283,0.003220612,0.004830918,0.001610306,0.004830918,0.001610306,0.00805153,0.011272142,0.024154589,0.017713366,0.001610306,0.00805153,0.004830918,0.001610306,0.028985507,0.001610306,1,3,1,1
